Crash_Date,Count,DayOfWeek,Holiday,Weather,Avg2days
6/25/2016,32,5,0,0,33
6/26/2016,28,6,0,0,32
6/27/2016,37,0,0,0,30
6/28/2016,31,1,0,1,32.5
6/29/2016,24,2,0,0,34
6/30/2016,30,3,0,1,27.5
7/1/2016,56,4,0,0,27
7/2/2016,35,5,0,0,43
7/3/2016,31,6,0,0,45.5
7/4/2016,18,0,1,0,33
7/5/2016,33,1,0,0,24.5
7/6/2016,30,2,0,0,25.5
7/7/2016,32,3,0,0,31.5
7/8/2016,32,4,0,0,31
7/9/2016,28,5,0,0,32
7/10/2016,20,6,0,0,30
7/11/2016,23,0,0,0,24
7/12/2016,34,1,0,0,21.5
7/13/2016,23,2,0,0,28.5
7/14/2016,40,3,0,0,28.5
7/15/2016,52,4,0,0,31.5
7/16/2016,34,5,0,0,46
7/17/2016,26,6,0,0,43
7/18/2016,32,0,0,0,30
7/19/2016,34,1,0,0,29
7/20/2016,29,2,0,0,33
7/21/2016,30,3,0,0,31.5
7/22/2016,35,4,0,0,29.5
7/23/2016,35,5,0,0,32.5
7/24/2016,19,6,0,0,35
7/25/2016,32,0,0,0,27
7/26/2016,26,1,0,0,25.5
7/27/2016,28,2,0,0,29
7/28/2016,27,3,0,0,27
7/29/2016,27,4,0,1,27.5
7/30/2016,26,5,0,1,27
7/31/2016,27,6,0,0,26.5
8/1/2016,22,0,0,0,26.5
8/2/2016,26,1,0,0,24.5
8/3/2016,29,2,0,0,24
8/4/2016,36,3,0,1,27.5
8/5/2016,38,4,0,0,32.5
8/6/2016,43,5,0,0,37
8/7/2016,20,6,0,0,40.5
8/8/2016,34,0,0,0,31.5
8/9/2016,29,1,0,0,27
8/10/2016,35,2,0,0,31.5
8/11/2016,40,3,0,0,32
8/12/2016,37,4,0,0,37.5
8/13/2016,41,5,0,0,38.5
8/14/2016,34,6,0,0,39
8/15/2016,38,0,0,0,37.5
8/16/2016,29,1,0,0,36
8/17/2016,36,2,0,0,33.5
8/18/2016,42,3,0,0,32.5
8/19/2016,37,4,0,0,39
8/20/2016,31,5,0,0,39.5
8/21/2016,25,6,0,0,34
8/22/2016,36,0,0,0,28
8/23/2016,29,1,0,0,30.5
8/24/2016,29,2,0,0,32.5
8/25/2016,34,3,0,0,29
8/26/2016,37,4,0,0,31.5
8/27/2016,34,5,0,1,35.5
8/28/2016,22,6,0,0,35.5
8/29/2016,37,0,0,0,28
8/30/2016,46,1,0,0,29.5
8/31/2016,41,2,0,0,41.5
9/1/2016,46,3,0,0,43.5
9/2/2016,43,4,0,0,43.5
9/3/2016,33,5,0,0,44.5
9/4/2016,20,6,0,0,38
9/5/2016,25,0,1,0,26.5
9/6/2016,55,1,0,0,22.5
9/7/2016,36,2,0,0,40
9/8/2016,34,3,0,0,45.5
9/9/2016,34,4,0,0,35
9/10/2016,23,5,0,0,34
9/11/2016,25,6,0,0,28.5
9/12/2016,26,0,0,0,24
9/13/2016,38,1,0,0,25.5
9/14/2016,47,2,0,0,32
9/15/2016,30,3,0,0,42.5
9/16/2016,26,4,0,0,38.5
9/17/2016,41,5,0,0,28
9/18/2016,41,6,0,0,33.5
9/19/2016,35,0,0,0,41
9/20/2016,31,1,0,1,38
9/21/2016,33,2,0,0,33
9/22/2016,35,3,0,0,32
9/23/2016,37,4,0,0,34
9/24/2016,44,5,0,0,36
9/25/2016,36,6,0,0,40.5
9/26/2016,33,0,0,0,40
9/27/2016,30,1,0,0,34.5
9/28/2016,36,2,0,0,31.5
9/29/2016,32,3,0,0,33
9/30/2016,38,4,0,0,34
10/1/2016,36,5,0,0,35
10/2/2016,30,6,0,0,37
10/3/2016,30,0,0,0,33
10/4/2016,31,1,0,0,30
10/5/2016,39,2,0,0,30.5
10/6/2016,38,3,0,0,35
10/7/2016,41,4,0,0,38.5
10/8/2016,37,5,0,0,39.5
10/9/2016,15,6,0,0,39
10/10/2016,35,0,1,0,26
10/11/2016,37,1,0,0,25
10/12/2016,44,2,0,0,36
10/13/2016,39,3,0,0,40.5
10/14/2016,35,4,0,0,41.5
10/15/2016,33,5,0,0,37
10/16/2016,24,6,0,0,34
10/17/2016,41,0,0,0,28.5
10/18/2016,51,1,0,0,32.5
10/19/2016,44,2,0,0,46
10/20/2016,34,3,0,0,47.5
10/21/2016,48,4,0,0,39
10/22/2016,41,5,0,0,41
10/23/2016,21,6,0,0,44.5
10/24/2016,42,0,0,1,31
10/25/2016,38,1,0,0,31.5
10/26/2016,33,2,0,0,40
10/27/2016,41,3,0,0,35.5
10/28/2016,29,4,0,0,37
10/29/2016,36,5,0,0,35
10/30/2016,30,6,0,0,32.5
10/31/2016,40,0,0,0,33
11/1/2016,40,1,0,0,35
11/2/2016,50,2,0,0,40
11/3/2016,27,3,0,0,45
11/4/2016,46,4,0,0,38.5
11/5/2016,28,5,0,0,36.5
11/6/2016,35,6,0,0,37
11/7/2016,44,0,0,0,31.5
11/8/2016,36,1,0,0,39.5
11/9/2016,44,2,0,0,40
11/10/2016,50,3,0,0,40
11/11/2016,45,4,1,0,47
11/12/2016,31,5,0,0,47.5
11/13/2016,26,6,0,0,38
